wcode,kind,uname,ucode
035852,call,緯穎,6669
035853,call,采鈺,6789
03585T,put,日月光投控,3711
03586T,put,聯茂,6213
035870,call,鴻海,2317
03588T,put,宏碁,2353
035897,call,玉晶光,3406
035927,call,楠梓電,2316
035938,call,緯穎,6669
035944,call,華新,1605
035948,call,華邦電,2344
035957,call,貿聯-KY,3665
035997,call,南亞,1303
035998,call,台達電,2308
036009,call,京元電子,2449
036016,call,奇鋐,3017
036022,call,牧德,3563
036028,call,佳必琪,6197
036038,call,光寶科,2301
036039,call,台達電,2308
03603T,put,元大台灣50,0050
036045,call,亞光,3019
036047,call,欣興,3037
03604T,put,元大台灣50,0050
03607T,put,華通,2313
03608T,put,揚博,2493
